model_name,optimizer,loss,epoch,batch_size,learning_rate,idx_repeat,test_loss,test_accuracy
model_01,adam,categorical_crossentropy,10,32,0.001,2,1.3550455570220947,0.16821247339248657
model_01,adam,categorical_crossentropy,10,32,0.0001,0,0.9344956874847412,0.7015177011489868
model_01,adam,categorical_crossentropy,10,32,0.0001,1,1.3593153953552246,0.22428330779075623
model_01,adam,categorical_crossentropy,10,32,0.0001,2,1.0504493713378906,0.505059003829956
model_01,adam,categorical_crossentropy,10,32,1e-05,0,1.1920930376163597e-07,0.12015177309513092
model_01,adam,categorical_crossentropy,10,32,1e-05,1,1.9520747661590576,0.10160202533006668
model_01,adam,categorical_crossentropy,10,32,1e-05,2,3.0598976612091064,0.14671163260936737
model_01,adam,categorical_crossentropy,10,128,0.001,0,1.5562196969985962,0.1277403086423874
model_01,adam,categorical_crossentropy,10,128,0.001,1,1.1485223770141602,0.39080944657325745
model_01,adam,categorical_crossentropy,10,128,0.001,2,1.0092746019363403,0.57757169008255
model_01,adam,categorical_crossentropy,10,128,0.0001,0,1.4593502283096313,0.11804384738206863
model_01,adam,categorical_crossentropy,10,128,0.0001,1,1.6206742525100708,0.6564080715179443
model_01,adam,categorical_crossentropy,10,128,0.0001,2,1.1212668418884277,0.5645025372505188
model_01,adam,categorical_crossentropy,10,128,1e-05,0,3.0001039505004883,0.5501686334609985
model_01,adam,categorical_crossentropy,10,128,1e-05,1,4.314497470855713,0.22934232652187347
model_01,adam,categorical_crossentropy,10,128,1e-05,2,2.1291277408599854,0.1968802660703659
model_01,adam,categorical_crossentropy,50,32,0.001,0,0.7937809824943542,0.7613828182220459
model_01,adam,categorical_crossentropy,50,32,0.001,1,0.7947530150413513,0.7613828182220459
model_01,adam,categorical_crossentropy,50,32,0.001,2,0.7949346899986267,0.7609612345695496
model_01,adam,categorical_crossentropy,50,32,0.0001,0,1.1920930376163597e-07,0.12015177309513092
model_01,adam,categorical_crossentropy,50,32,0.0001,1,0.8197758197784424,0.7394603490829468
model_01,adam,categorical_crossentropy,50,32,0.0001,2,0.8204973936080933,0.7605396509170532
model_01,adam,categorical_crossentropy,50,32,1e-05,0,1.214226484298706,0.12352444976568222
model_01,adam,categorical_crossentropy,50,32,1e-05,1,1.1198999881744385,0.5303541421890259
model_01,adam,categorical_crossentropy,50,32,1e-05,2,1.6434261798858643,0.11804384738206863
model_01,adam,categorical_crossentropy,50,128,0.001,0,0.7945761680603027,0.7596964836120605
model_01,adam,categorical_crossentropy,50,128,0.001,1,1.1920930376163597e-07,0.12015177309513092
model_01,adam,categorical_crossentropy,50,128,0.001,2,0.7944808602333069,0.7613828182220459
model_01,adam,categorical_crossentropy,50,128,0.0001,0,1.3992968797683716,0.11720067262649536
model_01,adam,categorical_crossentropy,50,128,0.0001,1,1.3277910947799683,0.11930859833955765
model_01,adam,categorical_crossentropy,50,128,0.0001,2,1.3111313581466675,0.21332208812236786
model_01,adam,categorical_crossentropy,50,128,1e-05,0,1.4241116046905518,0.12183810770511627
model_01,adam,categorical_crossentropy,50,128,1e-05,1,1.4743189811706543,0.6188870072364807
model_01,adam,categorical_crossentropy,50,128,1e-05,2,2.1892266273498535,0.192242830991745
model_01,adam,categorical_crossentropy,200,32,0.001,0,0.793108344078064,0.7613828182220459
model_01,adam,categorical_crossentropy,200,32,0.001,1,0.7910907864570618,0.7613828182220459
model_01,adam,categorical_crossentropy,200,32,0.001,2,0.7998806238174438,0.7613828182220459
model_01,adam,categorical_crossentropy,200,32,0.0001,0,0.8031200170516968,0.7613828182220459
model_01,adam,categorical_crossentropy,200,32,0.0001,1,1.1920930376163597e-07,0.12015177309513092
model_01,adam,categorical_crossentropy,200,32,0.0001,2,0.8007182478904724,0.7609612345695496
model_01,adam,categorical_crossentropy,200,32,1e-05,0,0.9910693168640137,0.5489038825035095
model_01,adam,categorical_crossentropy,200,32,1e-05,1,1.4526660442352295,0.10919055342674255
model_01,adam,categorical_crossentropy,200,32,1e-05,2,0.863948404788971,0.755059003829956
model_01,adam,categorical_crossentropy,200,128,0.001,0,0.7918202877044678,0.7613828182220459
model_01,adam,categorical_crossentropy,200,128,0.001,1,0.8180126547813416,0.7596964836120605
model_01,adam,categorical_crossentropy,200,128,0.001,2,1.1920930376163597e-07,0.12015177309513092
model_01,adam,categorical_crossentropy,200,128,0.0001,0,0.8168063163757324,0.7596964836120605
model_01,adam,categorical_crossentropy,200,128,0.0001,1,0.8201807737350464,0.7609612345695496
model_01,adam,categorical_crossentropy,200,128,0.0001,2,0.8491261601448059,0.7116357684135437
model_01,adam,categorical_crossentropy,200,128,1e-05,0,1.1920930376163597e-07,0.12015177309513092
model_01,adam,categorical_crossentropy,200,128,1e-05,1,1.1920930376163597e-07,0.12015177309513092
model_01,adam,categorical_crossentropy,200,128,1e-05,2,1.0863045454025269,0.7356660962104797
model_01,adam,binary_crossentropy,10,32,0.001,0,0.3422936201095581,0.7613828182220459
model_01,adam,binary_crossentropy,10,32,0.001,1,0.34515252709388733,0.7613828182220459
model_01,adam,binary_crossentropy,10,32,0.001,2,0.350727915763855,0.7529510855674744
model_01,adam,binary_crossentropy,10,32,0.0001,0,1.0914160013198853,0.539207398891449
model_01,adam,binary_crossentropy,10,32,0.0001,1,1.2114120721817017,0.5935919284820557
model_01,adam,binary_crossentropy,10,32,0.0001,2,0.4343627691268921,0.7491568326950073
model_01,adam,binary_crossentropy,10,32,1e-05,0,6.580583572387695,0.592748761177063
model_01,adam,binary_crossentropy,10,32,1e-05,1,5.665200233459473,0.5623946189880371
model_01,adam,binary_crossentropy,10,32,1e-05,2,9.81882095336914,0.4578414857387543
model_01,adam,binary_crossentropy,10,128,0.001,0,0.3859076499938965,0.7542158365249634
model_01,adam,binary_crossentropy,10,128,0.001,1,0.4033522307872772,0.7601180672645569
model_01,adam,binary_crossentropy,10,128,0.001,2,0.36453086137771606,0.7605396509170532
model_01,adam,binary_crossentropy,10,128,0.0001,0,1.1697450876235962,0.6677908897399902
model_01,adam,binary_crossentropy,10,128,0.0001,1,0.8920289278030396,0.7280775904655457
model_01,adam,binary_crossentropy,10,128,0.0001,2,1.26134192943573,0.6804384589195251
model_01,adam,binary_crossentropy,10,128,1e-05,0,5.2006659507751465,0.5906407833099365
model_01,adam,binary_crossentropy,10,128,1e-05,1,3.6229822635650635,0.5295109748840332
model_01,adam,binary_crossentropy,10,128,1e-05,2,16.049245834350586,0.6850758790969849
model_01,adam,binary_crossentropy,50,32,0.001,0,0.3407195806503296,0.7613828182220459
model_01,adam,binary_crossentropy,50,32,0.001,1,0.3403882682323456,0.7613828182220459
model_01,adam,binary_crossentropy,50,32,0.001,2,0.3400738835334778,0.7613828182220459
model_01,adam,binary_crossentropy,50,32,0.0001,0,0.34368428587913513,0.7613828182220459
model_01,adam,binary_crossentropy,50,32,0.0001,1,0.34883183240890503,0.7605396509170532
model_01,adam,binary_crossentropy,50,32,0.0001,2,0.34377869963645935,0.7613828182220459
model_01,adam,binary_crossentropy,50,32,1e-05,0,0.6740196943283081,0.7504215836524963
model_01,adam,binary_crossentropy,50,32,1e-05,1,0.8626396656036377,0.7124789357185364
model_01,adam,binary_crossentropy,50,32,1e-05,2,0.6240768432617188,0.7390387654304504
model_01,adam,binary_crossentropy,50,128,0.001,0,0.3424537181854248,0.7613828182220459
model_01,adam,binary_crossentropy,50,128,0.001,1,0.35934439301490784,0.7613828182220459
model_01,adam,binary_crossentropy,50,128,0.001,2,0.3416798710823059,0.7613828182220459
model_01,adam,binary_crossentropy,50,128,0.0001,0,0.36594709753990173,0.7588533163070679
model_01,adam,binary_crossentropy,50,128,0.0001,1,0.40327778458595276,0.7542158365249634
model_01,adam,binary_crossentropy,50,128,0.0001,2,0.3622969686985016,0.7588533163070679
model_01,adam,binary_crossentropy,50,128,1e-05,0,1.303267002105713,0.6576728224754333
model_01,adam,binary_crossentropy,50,128,1e-05,1,2.6570494174957275,0.7390387654304504
model_01,adam,binary_crossentropy,50,128,1e-05,2,1.7273101806640625,0.7301855087280273
model_01,adam,binary_crossentropy,200,32,0.001,0,0.3407115042209625,0.7613828182220459
model_01,adam,binary_crossentropy,200,32,0.001,1,0.34040412306785583,0.7613828182220459
model_01,adam,binary_crossentropy,200,32,0.001,2,0.3405403792858124,0.7613828182220459
model_01,adam,binary_crossentropy,200,32,0.0001,0,0.3472368121147156,0.7609612345695496
model_01,adam,binary_crossentropy,200,32,0.0001,1,0.3479056656360626,0.7609612345695496
model_01,adam,binary_crossentropy,200,32,0.0001,2,0.34524816274642944,0.7609612345695496
model_01,adam,binary_crossentropy,200,32,1e-05,0,0.43607601523399353,0.7491568326950073
model_01,adam,binary_crossentropy,200,32,1e-05,1,0.3677915334701538,0.7601180672645569
model_01,adam,binary_crossentropy,200,32,1e-05,2,0.3582952320575714,0.7609612345695496
model_01,adam,binary_crossentropy,200,128,0.001,0,0.34181877970695496,0.7613828182220459
model_01,adam,binary_crossentropy,200,128,0.001,1,0.34042537212371826,0.7613828182220459
model_01,adam,binary_crossentropy,200,128,0.001,2,0.3404195308685303,0.7613828182220459
model_01,adam,binary_crossentropy,200,128,0.0001,0,0.35019293427467346,0.7605396509170532
model_01,adam,binary_crossentropy,200,128,0.0001,1,0.3495696783065796,0.7609612345695496
model_01,adam,binary_crossentropy,200,128,0.0001,2,0.35564783215522766,0.7588533163070679
model_01,adam,binary_crossentropy,200,128,1e-05,0,0.7885201573371887,0.7124789357185364
model_01,adam,binary_crossentropy,200,128,1e-05,1,0.41195669770240784,0.7567453384399414
model_01,adam,binary_crossentropy,200,128,1e-05,2,0.40281590819358826,0.7588533163070679
model_01,sgd,categorical_crossentropy,10,32,0.001,0,0.8944509625434875,0.7613828182220459
model_01,sgd,categorical_crossentropy,10,32,0.001,1,2.314342737197876,0.12015177309513092
model_01,sgd,categorical_crossentropy,10,32,0.001,2,0.8986769318580627,0.7613828182220459
model_01,sgd,categorical_crossentropy,10,32,0.0001,0,1.213451862335205,0.7124789357185364
model_01,sgd,categorical_crossentropy,10,32,0.0001,1,1.1920930376163597e-07,0.12015177309513092
model_01,sgd,categorical_crossentropy,10,32,0.0001,2,0.940166175365448,0.7099494338035583
model_01,sgd,categorical_crossentropy,10,32,1e-05,0,1.1920930376163597e-07,0.12015177309513092
model_01,sgd,categorical_crossentropy,10,32,1e-05,1,1.1920930376163597e-07,0.12015177309513092
model_01,sgd,categorical_crossentropy,10,32,1e-05,2,1.2476342916488647,0.7403035163879395
model_01,sgd,categorical_crossentropy,10,128,0.001,0,0.9787729382514954,0.7605396509170532
model_01,sgd,categorical_crossentropy,10,128,0.001,1,1.0192673206329346,0.752529501914978
model_01,sgd,categorical_crossentropy,10,128,0.001,2,0.9857538938522339,0.7596964836120605
model_01,sgd,categorical_crossentropy,10,128,0.0001,0,1.3982577323913574,0.11298482120037079
model_01,sgd,categorical_crossentropy,10,128,0.0001,1,1.2804945707321167,0.5737773776054382
model_01,sgd,categorical_crossentropy,10,128,0.0001,2,1.3890053033828735,0.1209949404001236
model_01,sgd,categorical_crossentropy,10,128,1e-05,0,1.9471763372421265,0.10244519263505936
model_01,sgd,categorical_crossentropy,10,128,1e-05,1,2.765939235687256,0.3317875266075134
model_01,sgd,categorical_crossentropy,10,128,1e-05,2,2.012617588043213,0.5990725159645081
model_01,sgd,categorical_crossentropy,50,32,0.001,0,1.3670989274978638,0.193507581949234
model_01,sgd,categorical_crossentropy,50,32,0.001,1,1.1920930376163597e-07,0.12015177309513092
model_01,sgd,categorical_crossentropy,50,32,0.001,2,0.7978178262710571,0.7609612345695496
model_01,sgd,categorical_crossentropy,50,32,0.0001,0,1.3071775436401367,0.16146712005138397
model_01,sgd,categorical_crossentropy,50,32,0.0001,1,1.3850903511047363,0.1142495796084404
model_01,sgd,categorical_crossentropy,50,32,0.0001,2,1.1920930376163597e-07,0.12015177309513092
model_01,sgd,categorical_crossentropy,50,32,1e-05,0,1.1886037588119507,0.1618887037038803
model_01,sgd,categorical_crossentropy,50,32,1e-05,1,1.2936656475067139,0.13153457641601562
model_01,sgd,categorical_crossentropy,50,32,1e-05,2,1.0739859342575073,0.7196458578109741
model_01,sgd,categorical_crossentropy,50,128,0.001,0,1.1920930376163597e-07,0.12015177309513092
model_01,sgd,categorical_crossentropy,50,128,0.001,1,0.8088034391403198,0.7613828182220459
model_01,sgd,categorical_crossentropy,50,128,0.001,2,1.3862937688827515,0.12015177309513092
model_01,sgd,categorical_crossentropy,50,128,0.0001,0,1.388679027557373,0.14123103022575378
model_01,sgd,categorical_crossentropy,50,128,0.0001,1,1.2961739301681519,0.27107927203178406
model_01,sgd,categorical_crossentropy,50,128,0.0001,2,1.1859629154205322,0.12268128246068954
model_01,sgd,categorical_crossentropy,50,128,1e-05,0,1.398115873336792,0.04595278203487396
model_01,sgd,categorical_crossentropy,50,128,1e-05,1,2.6617345809936523,0.09991568326950073
model_01,sgd,categorical_crossentropy,50,128,1e-05,2,1.3381704092025757,0.7032040357589722
model_01,sgd,categorical_crossentropy,200,32,0.001,0,0.8145545125007629,0.7613828182220459
model_01,sgd,categorical_crossentropy,200,32,0.001,1,1.3864725828170776,0.12015177309513092
model_01,sgd,categorical_crossentropy,200,32,0.001,2,1.3862935304641724,0.12015177309513092
model_01,sgd,categorical_crossentropy,200,32,0.0001,0,1.1920930376163597e-07,0.12015177309513092
model_01,sgd,categorical_crossentropy,200,32,0.0001,1,1.1920930376163597e-07,0.12015177309513092
model_01,sgd,categorical_crossentropy,200,32,0.0001,2,0.8057557344436646,0.7613828182220459
model_01,sgd,categorical_crossentropy,200,32,1e-05,0,1.3177562952041626,0.7069982886314392
model_01,sgd,categorical_crossentropy,200,32,1e-05,1,1.1920930376163597e-07,0.12015177309513092
model_01,sgd,categorical_crossentropy,200,32,1e-05,2,1.1308860778808594,0.3187183737754822
model_01,sgd,categorical_crossentropy,200,128,0.001,0,0.8090189099311829,0.7613828182220459
model_01,sgd,categorical_crossentropy,200,128,0.001,1,0.8058595657348633,0.7613828182220459
model_01,sgd,categorical_crossentropy,200,128,0.001,2,1.1920930376163597e-07,0.12015177309513092
model_01,sgd,categorical_crossentropy,200,128,0.0001,0,0.929977536201477,0.7559021711349487
model_01,sgd,categorical_crossentropy,200,128,0.0001,1,0.8062863349914551,0.7609612345695496
model_01,sgd,categorical_crossentropy,200,128,0.0001,2,1.6616464853286743,0.12057335674762726
model_01,sgd,categorical_crossentropy,200,128,1e-05,0,2.956690549850464,0.04047217592597008
model_01,sgd,categorical_crossentropy,200,128,1e-05,1,1.3194169998168945,0.06070826202630997
model_01,sgd,categorical_crossentropy,200,128,1e-05,2,1.2225481271743774,0.732293426990509
model_01,sgd,binary_crossentropy,10,32,0.001,0,0.4051147699356079,0.7609612345695496
model_01,sgd,binary_crossentropy,10,32,0.001,1,0.4171708822250366,0.7613828182220459
model_01,sgd,binary_crossentropy,10,32,0.001,2,0.41133183240890503,0.7613828182220459
model_01,sgd,binary_crossentropy,10,32,0.0001,0,0.40263381600379944,0.7491568326950073
model_01,sgd,binary_crossentropy,10,32,0.0001,1,0.4495818316936493,0.7166947722434998
model_01,sgd,binary_crossentropy,10,32,0.0001,2,0.5857661962509155,0.7584317326545715
model_01,sgd,binary_crossentropy,10,32,1e-05,0,0.5181962251663208,0.6108769178390503
model_01,sgd,binary_crossentropy,10,32,1e-05,1,0.7969012260437012,0.12057335674762726
model_01,sgd,binary_crossentropy,10,32,1e-05,2,0.7775837779045105,0.7588533163070679
model_01,sgd,binary_crossentropy,10,128,0.001,0,0.36344200372695923,0.7613828182220459
model_01,sgd,binary_crossentropy,10,128,0.001,1,0.36638742685317993,0.7592748999595642
model_01,sgd,binary_crossentropy,10,128,0.001,2,0.4428616166114807,0.7613828182220459
model_01,sgd,binary_crossentropy,10,128,0.0001,0,0.5505395531654358,0.7575885057449341
model_01,sgd,binary_crossentropy,10,128,0.0001,1,0.6071656346321106,0.7344013452529907
model_01,sgd,binary_crossentropy,10,128,0.0001,2,0.6019758582115173,0.7613828182220459
model_01,sgd,binary_crossentropy,10,128,1e-05,0,0.9764684438705444,0.10876896977424622
model_01,sgd,binary_crossentropy,10,128,1e-05,1,0.8759778141975403,0.5560708045959473
model_01,sgd,binary_crossentropy,10,128,1e-05,2,1.2374956607818604,0.673693060874939
model_01,sgd,binary_crossentropy,50,32,0.001,0,0.3517104685306549,0.7613828182220459
model_01,sgd,binary_crossentropy,50,32,0.001,1,0.35314440727233887,0.7613828182220459
model_01,sgd,binary_crossentropy,50,32,0.001,2,0.34688737988471985,0.7613828182220459
model_01,sgd,binary_crossentropy,50,32,0.0001,0,0.36142510175704956,0.7609612345695496
model_01,sgd,binary_crossentropy,50,32,0.0001,1,0.3586704134941101,0.7613828182220459
model_01,sgd,binary_crossentropy,50,32,0.0001,2,0.350063294172287,0.7613828182220459
model_01,sgd,binary_crossentropy,50,32,1e-05,0,0.6204056739807129,0.7605396509170532
model_01,sgd,binary_crossentropy,50,32,1e-05,1,0.5358772873878479,0.7605396509170532
model_01,sgd,binary_crossentropy,50,32,1e-05,2,0.5548591017723083,0.7592748999595642
model_01,sgd,binary_crossentropy,50,128,0.001,0,0.3519517183303833,0.7613828182220459
model_01,sgd,binary_crossentropy,50,128,0.001,1,0.3536725342273712,0.7613828182220459
model_01,sgd,binary_crossentropy,50,128,0.001,2,0.35089898109436035,0.7613828182220459
model_01,sgd,binary_crossentropy,50,128,0.0001,0,0.5190315842628479,0.7609612345695496
model_01,sgd,binary_crossentropy,50,128,0.0001,1,0.5618671178817749,0.7609612345695496
model_01,sgd,binary_crossentropy,50,128,0.0001,2,0.3669165074825287,0.7580100893974304
model_01,sgd,binary_crossentropy,50,128,1e-05,0,0.7018359899520874,0.7331365942955017
model_01,sgd,binary_crossentropy,50,128,1e-05,1,0.5641518831253052,0.7453625798225403
model_01,sgd,binary_crossentropy,50,128,1e-05,2,0.7832773923873901,0.08431702852249146
model_01,sgd,binary_crossentropy,200,32,0.001,0,0.3405318260192871,0.7613828182220459
model_01,sgd,binary_crossentropy,200,32,0.001,1,0.3469652831554413,0.7613828182220459
model_01,sgd,binary_crossentropy,200,32,0.001,2,0.34756574034690857,0.7613828182220459
model_01,sgd,binary_crossentropy,200,32,0.0001,0,0.3486655056476593,0.7613828182220459
model_01,sgd,binary_crossentropy,200,32,0.0001,1,0.39232921600341797,0.7609612345695496
model_01,sgd,binary_crossentropy,200,32,0.0001,2,0.36059826612472534,0.7609612345695496
model_01,sgd,binary_crossentropy,200,32,1e-05,0,0.4511429965496063,0.7613828182220459
model_01,sgd,binary_crossentropy,200,32,1e-05,1,0.4600360095500946,0.7596964836120605
model_01,sgd,binary_crossentropy,200,32,1e-05,2,0.44066122174263,0.7609612345695496
model_01,sgd,binary_crossentropy,200,128,0.001,0,0.35144415497779846,0.7613828182220459
model_01,sgd,binary_crossentropy,200,128,0.001,1,0.34482964873313904,0.7609612345695496
model_01,sgd,binary_crossentropy,200,128,0.001,2,0.3624645173549652,0.7613828182220459
model_01,sgd,binary_crossentropy,200,128,0.0001,0,0.3610021770000458,0.7609612345695496
model_01,sgd,binary_crossentropy,200,128,0.0001,1,0.3623102307319641,0.7609612345695496
model_01,sgd,binary_crossentropy,200,128,0.0001,2,0.35217592120170593,0.7613828182220459
model_01,sgd,binary_crossentropy,200,128,1e-05,0,0.48089152574539185,0.7495784163475037
model_01,sgd,binary_crossentropy,200,128,1e-05,1,0.6249617338180542,0.7504215836524963
model_01,sgd,binary_crossentropy,200,128,1e-05,2,0.5570772290229797,0.7580100893974304
